composite,scene_id,product_id,datetime,mgrs_tile,cloud_pct,platform,baseline,orbit,nodata_pct,used
2024_11,S2B_MSIL2A_20241123T110309_R094_T29SQS_20241123T134255,S2B_MSIL2A_20241123T110309_N0511_R094_T29SQS_20241123T134255,2024-11-23 11:03:09,29SQS,0.002,Sentinel-2B,05.11,94,25.41,True
2024_11,S2B_MSIL2A_20241126T111319_R137_T29SPR_20241126T122745,S2B_MSIL2A_20241126T111319_N0511_R137_T29SPR_20241126T122745,2024-11-26 11:13:19,29SPR,87.052,Sentinel-2B,05.11,137,0.0,False
2024_11,S2B_MSIL2A_20241126T111319_R137_T29SPS_20241126T122745,S2B_MSIL2A_20241126T111319_N0511_R137_T29SPS_20241126T122745,2024-11-26 11:13:19,29SPS,85.06,Sentinel-2B,05.11,137,0.0,False
2024_11,S2B_MSIL2A_20241126T111319_R137_T29SQR_20241126T122745,S2B_MSIL2A_20241126T111319_N0511_R137_T29SQR_20241126T122745,2024-11-26 11:13:19,29SQR,12.109,Sentinel-2B,05.11,137,35.59,True
2024_11,S2B_MSIL2A_20241126T111319_R137_T29SQS_20241126T122745,S2B_MSIL2A_20241126T111319_N0511_R137_T29SQS_20241126T122745,2024-11-26 11:13:19,29SQS,23.304,Sentinel-2B,05.11,137,14.83,True
2024_11,S2A_MSIL2A_20241128T110411_R094_T29SQR_20241128T152055,S2A_MSIL2A_20241128T110411_N0511_R094_T29SQR_20241128T152055,2024-11-28 11:04:11,29SQR,3.488,Sentinel-2A,05.11,94,8.45,True
2024_11,S2A_MSIL2A_20241128T110411_R094_T29SQS_20241128T152055,S2A_MSIL2A_20241128T110411_N0511_R094_T29SQS_20241128T152055,2024-11-28 11:04:11,29SQS,0.376,Sentinel-2A,05.11,94,26.64,True
2025_01,S2B_MSIL2A_20250102T110349_R094_T29SQR_20250102T163547,S2B_MSIL2A_20250102T110349_N0511_R094_T29SQR_20250102T163547,2025-01-02 11:03:49,29SQR,0.02,Sentinel-2B,05.11,94,8.3,True
2025_01,S2B_MSIL2A_20250102T110349_R094_T29SQS_20250102T163547,S2B_MSIL2A_20250102T110349_N0511_R094_T29SQS_20250102T163547,2025-01-02 11:03:49,29SQS,0.005,Sentinel-2B,05.11,94,26.45,True
2025_01,S2B_MSIL2A_20250105T111349_R137_T29SPR_20250105T132250,S2B_MSIL2A_20250105T111349_N0511_R137_T29SPR_20250105T132250,2025-01-05 11:13:49,29SPR,0.003,Sentinel-2B,05.11,137,0.0,True
2025_01,S2B_MSIL2A_20250105T111349_R137_T29SPS_20250105T132250,S2B_MSIL2A_20250105T111349_N0511_R137_T29SPS_20250105T132250,2025-01-05 11:13:49,29SPS,0.088,Sentinel-2B,05.11,137,0.0,True
2025_01,S2B_MSIL2A_20250105T111349_R137_T29SQR_20250105T132250,S2B_MSIL2A_20250105T111349_N0511_R137_T29SQR_20250105T132250,2025-01-05 11:13:49,29SQR,3.249,Sentinel-2B,05.11,137,34.62,True
2025_01,S2B_MSIL2A_20250105T111349_R137_T29SQS_20250105T132250,S2B_MSIL2A_20250105T111349_N0511_R137_T29SQS_20250105T132250,2025-01-05 11:13:49,29SQS,17.251,Sentinel-2B,05.11,137,13.89,True
2025_01,S2A_MSIL2A_20250110T111431_R137_T29SPR_20250110T151150,S2A_MSIL2A_20250110T111431_N0511_R137_T29SPR_20250110T151150,2025-01-10 11:14:31,29SPR,1.844,Sentinel-2A,05.11,137,0.0,True
2025_01,S2A_MSIL2A_20250110T111431_R137_T29SPS_20250110T151150,S2A_MSIL2A_20250110T111431_N0511_R137_T29SPS_20250110T151150,2025-01-10 11:14:31,29SPS,14.02,Sentinel-2A,05.11,137,0.0,True
