Echantillon,Latitude,Longitude,N,P,K,B2_2024_11,B3_2024_11,B4_2024_11,B5_2024_11,B6_2024_11,B7_2024_11,B8_2024_11,B8A_2024_11,B11_2024_11,B12_2024_11,NDVI_2024_11,SAVI_2024_11,EVI_2024_11,GNDVI_2024_11,NDRE_2024_11,NDMI_2024_11,MNDWI_2024_11,BSI_2024_11,SI_2024_11,VSSI_2024_11,B2_2025_01,B3_2025_01,B4_2025_01,B5_2025_01,B6_2025_01,B7_2025_01,B8_2025_01,B8A_2025_01,B11_2025_01,B12_2025_01,NDVI_2025_01,SAVI_2025_01,EVI_2025_01,GNDVI_2025_01,NDRE_2025_01,NDMI_2025_01,MNDWI_2025_01,BSI_2025_01,SI_2025_01,VSSI_2025_01,x_m,y_m,block
27,32.32652167,-6.69255167,2083.98,32.9,67.83,0.09549999982118607,0.1254000067710876,0.1767999976873398,0.1958999931812286,0.2018000036478043,0.2179999947547913,0.2345000058412552,0.2432000041007996,0.3591000139713287,0.3267500102519989,0.14028691349042732,0.09497422571683034,0.09135240872440079,0.303139746995625,0.10772036234259057,-0.209905666713939,-0.4823529343915847,0.23778727525083784,0.1173359332466246,-1.8057000041007996,0.06729999929666519,0.08344999700784683,0.1253000050783157,0.1369500011205673,0.147599995136261,0.160999998450279,0.1808000057935715,0.1798000037670135,0.2838000059127808,0.2725499868392944,0.18131329161295276,0.10327502785025336,0.09717407133219637,0.3684011632366234,0.13528019526431925,-0.22169607684515893,-0.5455412029028456,0.24497870011609407,0.07734968787652008,-1.3636000603437424,378179.68686827715,193118.47236943134,5
28,32.273185,-6.491075,1484.21,24.89,24.22,0.04639999940991402,0.06970000267028809,0.1085999980568886,0.1262000054121017,0.1659000068902969,0.1773999929428101,0.1881999969482422,0.1979999989271164,0.2069000005722046,0.1788000017404556,0.26819406995537004,0.14984939644265627,0.13339589663515997,0.4594803954779044,0.221468205837593,-0.04732979927610569,-0.49602312291229944,0.14706417535187935,0.036993720462410444,-1.3445999696850777,0.0348999984562397,0.05380000174045563,0.05339999869465828,0.1014999970793724,0.2397000044584274,0.285199999809265,0.2962000072002411,0.2967000007629395,0.1773000061511993,0.124499998986721,0.694508019785526,0.428672328426782,0.4480200880981312,0.6925714245004084,0.4902059373457375,0.25110875912411695,-0.534400690865587,-0.17871128293881372,0.02207385058616994,-1.6404000259935856,397082.7553233433,186988.8591917109,8
29,32.26172833,-6.53678167,835.18,9.63,18.68,0.03660000115633011,0.05799999833106995,0.1088000014424324,0.1288000047206879,0.1372999995946884,0.1483000069856644,0.1527999937534332,0.1588999927043915,0.1967999935150146,0.1924999952316284,0.16819569170810322,0.08665964926841623,0.07184376019042747,0.44971536305677623,0.10462282985219416,-0.1258581271112488,-0.5447409697055553,0.23474747917491526,0.03788399781322481,-1.1919999793171883,0.03620000183582306,0.05579999834299088,0.08569999784231186,0.1076999977231026,0.1462000012397766,0.157700002193451,0.1669999957084656,0.1671999990940094,0.1579000055789948,0.1423999965190887,0.32172536454019335,0.16201673687274162,0.14417961207055818,0.49910233319256886,0.21644234937568646,0.02800858745891739,-0.47777260123731413,0.09042078267521783,0.022484960244812946,-1.1518999710679054,392763.94816625316,185764.70380210492,8
30,32.25919,-6.568015,1229.94,19.51,32.97,0.07180000096559525,0.09939999878406525,0.1516000032424927,0.1689999997615814,0.1764000058174133,0.1879999935626984,0.1969999969005585,0.2012999951839447,0.2910000085830688,0.2775999903678894,0.13023520800114827,0.08024981201463453,0.07238057744118388,0.3292847476659787,0.087226561641969,-0.19262297220003016,-0.49077870310602545,0.24430701623186218,0.08078159957971563,-1.5442000031471255,0.06870000064373016,0.09619999676942825,0.1472000032663345,0.1588999927043915,0.1704999953508377,0.179700002074242,0.1879999935626984,0.1914000064134598,0.2782000005245209,0.2608999907970428,0.12171834892783537,0.07327584491966131,0.06555478980343804,0.32301196197430304,0.09277765828756587,-0.19347921045118707,-0.48611112335583045,0.2473244536467132,0.0725823775765848,-1.483599990606308,389818.65864136285,185515.7913129658,8
31,32.28278167,-6.58785667,1097.45,9.56,16.93,0.05629999935626984,0.0763000026345253,0.1140000000596046,0.1309999972581863,0.1483999937772751,0.1601999998092651,0.1625999957323074,0.1806000024080276,0.2224999964237213,0.1999000012874603,0.17570497554728784,0.09387071066710072,0.08530205995960072,0.3612389842047167,0.15917845007636194,-0.15554401910140925,-0.4892904744333885,0.21173929234347974,0.0444777495715618,-1.2303999736905096,0.05380000174045563,0.07150000333786011,0.1071999967098236,0.1216000020503998,0.1393000036478043,0.155100002884865,0.1534000039100647,0.1668000072240829,0.2052000015974045,0.1826999932527542,0.17728321915986986,0.09111229390465714,0.08290863570122019,0.36416183890006726,0.15672678073299756,-0.14445063231269317,-0.4831947791530738,0.2024634173459297,0.03749003890731096,-1.1599999964237213,387979.3221407026,188152.2953955728,7
32,32.29627167,-6.60258333,1132.73,20.89,25.9,0.05310000106692314,0.07845000177621841,0.129600003361702,0.1540499925613403,0.1694499999284744,0.1821500062942505,0.1798000037670135,0.1927500069141388,0.2538500130176544,0.2410500049591064,0.16224951223798115,0.09303187539506978,0.08049257591033912,0.39244917491929954,0.11159173673511806,-0.17075984368438557,-0.5278363012484398,0.2442605761654709,0.06119054689677482,-1.3901000320911407,0.05000000074505806,0.07109999656677246,0.1136000007390976,0.1430000066757202,0.1537999957799911,0.162499994039536,0.1578000038862228,0.1759999990463257,0.239099994301796,0.2170999944210052,0.1628592565622318,0.08594763329420856,0.07545753049822261,0.3787680505421676,0.10344824976558507,-0.20483746682261866,-0.5415860803961756,0.2585191618837515,0.05190860742898228,-1.2148000299930573,386609.6602486659,189663.69420106272,7
33,32.29954,-6.62236667,1275.78,11.26,34.25,0.096950002014637,0.1152999997138977,0.1433999985456467,0.1621499955654144,0.1692499965429306,0.1814000010490417,0.1915999948978424,0.2026000022888184,0.3415000140666962,0.3265500068664551,0.1438805885124471,0.0865868204742527,0.09095197170484945,0.24861517196133165,0.11089789403829241,-0.28118554936591555,-0.49518390331367407,0.2538625806813692,0.11151683193837415,-1.44439996778965,0.09529999643564224,0.1116999983787537,0.1412000060081482,0.1564500033855438,0.1662999987602234,0.179299995303154,0.1886000037193298,0.1985999941825867,0.3228999972343445,0.3100500106811523,0.1437234571540066,0.08568329203819001,0.08970136506016603,0.2560772712195382,0.11871564840734605,-0.2625610811379391,-0.4859641060780107,0.24090909362049648,0.10011514759145256,-1.4256000518798828,384751.0773757971,190047.66747827292,7
34,32.29688667,-6.68024333,1087.86,12.09,28.38,0.05420000106096268,0.08214999735355377,0.1326999962329865,0.1445499956607819,0.1568499952554703,0.1722500026226044,0.179299995303154,0.1841499954462051,0.2717500030994415,0.2563000023365021,0.14935897495180092,0.08608374302198515,0.07425111554698978,0.37158156552553323,0.12047459913699665,-0.20496620755733339,-0.5357445746466611,0.26796771510859896,0.0696495264293313,-1.3956999629735949,0.04760000109672546,0.06719999760389328,0.1147999987006187,0.1247999966144562,0.1333999931812286,0.147900000214577,0.1598999947309494,0.1596499979496002,0.2379499971866608,0.2266499996185303,0.16417909335475353,0.08732411852210993,0.07558489755653827,0.40819022390008003,0.1225171449415473,-0.19617947428712051,-0.5595608780541005,0.25925926273685,0.053931366771585956,-1.239099971950054,379297.945709727,189818.8667847669,5
35,32.3178633,-6.69446833,1470.44,15.1,52.0,0.08030000329017639,0.1106000021100044,0.1534000039100647,0.1660999953746796,0.1771000027656555,0.1873999983072281,0.2137999981641769,0.2124000042676926,0.3294999897480011,0.3025999963283539,0.16448800040423844,0.1044741595531177,0.09856717643270584,0.3181257572405136,0.1223249902627076,-0.21295783903011742,-0.49738693749223234,0.24298583416774716,0.09970669568793777,-1.6148000061511993,0.06620000302791595,0.09264999628067017,0.124499998986721,0.1445000022649765,0.1756999939680099,0.191949993371964,0.2245000004768372,0.2085999995470047,0.2754000127315521,0.257099986076355,0.2865329551784857,0.17667844797403065,0.16949153120269136,0.4157338960379859,0.18153496678435366,-0.10182038569316108,-0.4965358279566767,0.15812337916055633,0.07080533943871004,-1.5597000047564507,377987.3677137171,192160.84858868518,5
36,32.33753,-6.668915,1025.82,12.47,22.75,0.04859999939799309,0.07204999774694443,0.1164999976754189,0.1324000060558319,0.1406500041484833,0.1556999981403351,0.1645999997854233,0.1703000068664551,0.2496500015258789,0.222900003194809,0.17111349118952357,0.09236973934137493,0.0802147995789768,0.39108389018570133,0.12520647197708212,-0.20531080571133442,-0.5520671545797876,0.26400276202695877,0.05564698613770248,-1.261399991810322,0.04160000011324883,0.06100000068545341,0.09799999743700027,0.1119000017642975,0.125900000333786,0.137700006365776,0.1509999930858612,0.1527000069618225,0.2041999995708466,0.1961999982595444,0.2128513953945048,0.1061415146584903,0.09285213123398055,0.42452827651005937,0.15419502531294665,-0.14977479570678687,-0.5399698273266557,0.22150364946731604,0.04006403956039907,-1.1229999512434006,380419.4119024819,194311.54255704168,5
