Echantillon,Latitude,Longitude,N,P,K,block,B2_2024_11,B3_2024_11,B4_2024_11,B5_2024_11,B6_2024_11,B7_2024_11,B8_2024_11,B8A_2024_11,B11_2024_11,B12_2024_11,NDVI_2024_11,SAVI_2024_11,EVI_2024_11,GNDVI_2024_11,NDRE_2024_11,NDMI_2024_11,MNDWI_2024_11,BSI_2024_11,SI_2024_11,VSSI_2024_11,B2_2025_01,B3_2025_01,B4_2025_01,B5_2025_01,B6_2025_01,B7_2025_01,B8_2025_01,B8A_2025_01,B11_2025_01,B12_2025_01,NDVI_2025_01,SAVI_2025_01,EVI_2025_01,GNDVI_2025_01,NDRE_2025_01,NDMI_2025_01,MNDWI_2025_01,BSI_2025_01,SI_2025_01,VSSI_2025_01
87,32.28434652,-6.713131575,1333.66,24.98,32.78,5,0.052283331751823425,0.08114443719387054,0.14837777614593506,0.16920000314712524,0.1796722114086151,0.1903611123561859,0.1947222352027893,0.19875556230545044,0.25768887996673584,0.2500722110271454,0.13507565546150455,0.08245366818827828,0.06844091091581392,0.41171264586066497,0.08032371800559372,-0.139180145035057,-0.5210362538467469,0.2435581904975807,0.0644408279703903,-1.5532111823558807,0.046400003135204315,0.06952222436666489,0.13371111452579498,0.15138888359069824,0.1614111065864563,0.17326666414737701,0.17988888919353485,0.1811777949333191,0.2290000170469284,0.2253333479166031,0.14725055476025486,0.0851360148536884,0.07064470482575747,0.4425090077540672,0.08957274789301178,-0.1201087312073052,-0.5342241549268278,0.23161669520609468,0.05160134051414356,-1.4289555698633194
88,32.27109319,-6.699269916,1141.67,20.54,26.77,5,0.055122219026088715,0.08070555329322815,0.14393334090709686,0.16200000047683716,0.17538334429264069,0.1884777694940567,0.1945444494485855,0.19732779264450073,0.23630553483963013,0.22671668231487274,0.14952564048228797,0.09054105390201106,0.07692930546827138,0.41358363163598355,0.09831633607428117,-0.09692720625975809,-0.4908345066793248,0.20728855026376825,0.053574406871482516,-1.5309778451919556,0.04993889108300209,0.07335555553436279,0.13048888742923737,0.14695554971694946,0.16279444098472595,0.17721666395664215,0.18372221291065216,0.18612222373485565,0.214388906955719,0.2095777839422226,0.16941898378005127,0.0980703753471171,0.08358906829357148,0.4293123346081277,0.11759017569505656,-0.07703048831775872,-0.4901340227740557,0.19223718666239428,0.04493115202157494,-1.424344390630722
89,32.24628651,-6.691956575,1942.04,45.92,49.24,4,0.07083334028720856,0.10604444891214371,0.19122223556041718,0.2150111049413681,0.22146667540073395,0.23537778854370117,0.24164444208145142,0.2405555546283722,0.2840999960899353,0.27454444766044617,0.11648437962292531,0.08107622621138078,0.06785467498486655,0.3900038117174178,0.05607181538494875,-0.08075321552691471,-0.4563836522661731,0.20670785247162313,0.0779980765068462,-1.9522444903850555,0.0698888823390007,0.10344444215297699,0.18371111154556274,0.20643332600593567,0.2172333300113678,0.22891110181808472,0.23817777633666992,0.23724444210529327,0.2759111523628235,0.28147777915000916,0.12910191812686292,0.08862239068131342,0.0749701724447326,0.39439277218259544,0.06944480486610392,-0.07339853835835429,-0.4546307270763932,0.1974179912941277,0.07766285840980736,-1.9025555551052094
90,32.22988651,-6.715299908,2211.08,56.43,49.18,4,0.07574444264173508,0.1148444414138794,0.18715554475784302,0.210466668009758,0.22946667671203613,0.2441222071647644,0.24628888070583344,0.26001107692718506,0.3065110743045807,0.3010111153125763,0.1364265689847229,0.09502440799078643,0.08207770409122185,0.36397759740488206,0.10530659387249185,-0.10894030099671849,-0.4548810334403868,0.2104122932721448,0.09226324033207778,-1.9375332444906235,0.07148332893848419,0.10689999908208847,0.1862444430589676,0.2042444497346878,0.22155000269412994,0.23469442129135132,0.2546333074569702,0.24889999628067017,0.3045499920845032,0.2939777672290802,0.15511979037919393,0.10902935747045944,0.09312336012709792,0.4086298697635796,0.09854594233716582,-0.08926712328354082,-0.48037427819998196,0.20158595504918878,0.08953092668263629,-1.990588754415512
91,32.22640485,-6.742993239,1904.06,35.98,47.58,4,0.08068889379501343,0.11224444955587387,0.1721777617931366,0.18834443390369415,0.20096665620803833,0.21452222764492035,0.23159998655319214,0.2319333255290985,0.2682444155216217,0.23675554990768433,0.1471656743251789,0.09862307110699887,0.08951827356630748,0.3471207444878894,0.10371448534539987,-0.07331167207837043,-0.40999876704401317,0.17022906132687243,0.06350835410648692,-1.794399842619896,0.036577776074409485,0.055222220718860626,0.101133331656456,0.10931111127138138,0.12801110744476318,0.14301110804080963,0.15142223238945007,0.15478889644145966,0.17934444546699524,0.16667777299880981,0.1991201450019652,0.1002362545749375,0.08472484138301223,0.465533963085054,0.17219910514856057,-0.08441664430673675,-0.5291554262046447,0.1974005413004923,0.02989273277014526,-1.152333378791809
92,32.24609651,-6.751459913,2377.21,38.98,69.87,4,0.06283333897590637,0.09841111302375793,0.16828888654708862,0.1922111213207245,0.21471111476421356,0.22933334112167358,0.24115554988384247,0.24388891458511353,0.2895110845565796,0.2754777669906616,0.17796471676097853,0.12018325763151963,0.10236158910098792,0.42037235109429577,0.1184998598740023,-0.09112224406685164,-0.49262448045557106,0.20190775965061764,0.07975386709269117,-1.8503999561071396,0.05951111018657684,0.09284444153308868,0.16086667776107788,0.18368889391422272,0.20347778499126434,0.2167777717113495,0.23260000348091125,0.22734443843364716,0.26971110701560974,0.2557777762413025,0.18231105442294113,0.12042977185246304,0.10239036222067115,0.4294298571062742,0.10620925598381442,-0.07388071393470562,-0.4878332870719562,0.1915992776638676,0.06898610718003262,-1.7816445231437683
93,32.23059652,-6.764231571,1266.88,24.16,28.98,4,0.053199999034404755,0.08276667445898056,0.14982222020626068,0.16893333196640015,0.17703333497047424,0.18773332238197327,0.1973777711391449,0.2019999921321869,0.2582000195980072,0.2536666691303253,0.13696875570657974,0.08419892248351493,0.07004542500129807,0.40911429111631453,0.08914448481273084,-0.1335057361486883,-0.514517539930712,0.2390593182605051,0.0654967389408112,-1.5704666078090668,0.047083333134651184,0.07160555571317673,0.13437777757644653,0.1501999944448471,0.15780000388622284,0.17145000398159027,0.1811777949333191,0.17971666157245636,0.2330000102519989,0.2286333292722702,0.14830990572069302,0.08607632441193117,0.0715894573374546,0.4334630366535109,0.08946704114445837,-0.1251206958575967,-0.529847356851734,0.23355871454025254,0.0532715680643876,-1.4345667511224747
94,32.21925651,-6.777921572,1961.77,40.36,93.33,4,0.06504999101161957,0.10592222213745117,0.1914111077785492,0.21566666662693024,0.22918333113193512,0.24238331615924835,0.2548333406448364,0.25778332352638245,0.3453333079814911,0.3314500153064728,0.1421244184622088,0.10053781499901025,0.08277827512711128,0.4127756671197222,0.08895692826365263,-0.15079139667790814,-0.5305443797007682,0.2531567352382163,0.1144607302163001,-2.0193777978420258,0.05966666713356972,0.09717777371406555,0.18015556037425995,0.19680000841617584,0.20763333141803741,0.22279998660087585,0.2407333254814148,0.23399999737739563,0.3144666850566864,0.3116999864578247,0.14392816488862847,0.09867275960910363,0.08080626661576565,0.4248323055510839,0.08635094794472713,-0.13280503970272625,-0.5278557895899553,0.24429788662143453,0.09801926147360618,-1.9100888818502426
95,32.20955818,-6.796341573,1623.19,23.01,36.87,3,0.050450000911951065,0.07722777873277664,0.12390556931495667,0.1431722342967987,0.18594445288181305,0.21232222020626068,0.2238110899925232,0.23332221806049347,0.22942222654819489,0.20176111161708832,0.2873187628951164,0.17677873776690037,0.1571959193907435,0.48692486586036177,0.23944571549409435,-0.012380238474342945,-0.4963132062549784,0.1259848708282944,0.04628848345803127,-1.584127739071846,0.03301110863685608,0.05631111189723015,0.07655555754899979,0.10546667128801346,0.17065554857254028,0.1972889006137848,0.214555561542511,0.21511666476726532,0.18183332681655884,0.14834445714950562,0.4740458006211885,0.26165730830326295,0.2418836551607963,0.584215278504056,0.34203272848315475,0.08255083733265448,-0.5270843823613351,0.02138965382944711,0.026973966158291063,-1.3429333716630936
96,32.21758818,-6.817698244,801.84,10.1,19.15,3,0.042855553328990936,0.06581111252307892,0.1127111092209816,0.1366555392742157,0.1499222218990326,0.16226667165756226,0.163466677069664,0.17624443769454956,0.21431110799312592,0.20933334529399872,0.18377860271314272,0.09808751695518751,0.08357210395579846,0.42592683876672033,0.12652253502007518,-0.1345881965516393,-0.530125723929604,0.22630775876526923,0.044862461169864476,-1.2492667064070702,0.03738333657383919,0.056111112236976624,0.0969555601477623,0.11872777342796326,0.1328222155570984,0.14629444479942322,0.14757779240608215,0.15436667203903198,0.18834444880485535,0.18032222986221313,0.20701565460342494,0.10198783993627512,0.08734379529490804,0.4490508694145095,0.13050026857787403,-0.1213574192957856,-0.5409299566080258,0.21336842801950162,0.03396269099066096,-1.110444538295269
97,32.24169319,-6.843028239,1249.25,16.61,19.71,3,0.05490000173449516,0.07935556024312973,0.12844443321228027,0.14840000867843628,0.16707777976989746,0.1837666630744934,0.18968889117240906,0.20108889043331146,0.2463555634021759,0.21523334085941315,0.19251192211966947,0.11228816160163782,0.09887033665520115,0.4100933133490879,0.1507598145120721,-0.1299561810850134,-0.5127242839522493,0.21022511979178204,0.05302393095035329,-1.4319555014371872,0.04107777774333954,0.061861105263233185,0.10196666419506073,0.11944445222616196,0.15067777037620544,0.16493889689445496,0.16935555636882782,0.17978888750076294,0.20301666855812073,0.18691666424274445,0.24837218192207286,0.1310520241291012,0.11436793761119844,0.4649078915071635,0.20166347482538802,-0.09039640941399452,-0.5329082947411858,0.18344381261980264,0.037947198472558785,-1.2328888922929764
98,32.25230486,-6.829213246,1723.68,32.06,44.0,3,0.06515555083751678,0.09822221845388412,0.16555555164813995,0.1897222399711609,0.20427778363227844,0.21711111068725586,0.22611111402511597,0.2330888956785202,0.3100999891757965,0.2818666696548462,0.15460994649180573,0.10186917046728443,0.08746871296064625,0.39431314135804785,0.10256743956886506,-0.15663397212902705,-0.518898473421196,0.2404270920227258,0.08740685120898561,-1.7618888914585114,0.06522777676582336,0.09527778625488281,0.15958888828754425,0.17791110277175903,0.19314999878406525,0.20595556497573853,0.219200000166893,0.21979443728923798,0.28928887844085693,0.27069443464279175,0.15737291546540752,0.10174988440771476,0.08831144980489967,0.3940571285748917,0.10531242387456502,-0.13783758324868525,-0.5044927433712395,0.224258484056168,0.07830888939799507,-1.7033888697624207
99,32.26071319,-6.828593244,1182.55,21.72,27.07,3,0.05447777733206749,0.08281110972166061,0.14311112463474274,0.1674666702747345,0.1822555512189865,0.19349998235702515,0.19262222945690155,0.20660001039505005,0.27756667137145996,0.25358888506889343,0.14747150996851024,0.08886405797930418,0.07534993397066406,0.3986849219635171,0.10461594693659819,-0.1806602443916608,-0.5404205567797048,0.2599334512628925,0.07038782272537247,-1.5130445510149002,0.04812221974134445,0.0736222118139267,0.12627775967121124,0.1482388824224472,0.16146111488342285,0.171016663312912,0.1758444458246231,0.18595001101493835,0.24522775411605835,0.23544444143772125,0.16406171108145698,0.09269164813129453,0.07879763457572447,0.40976311050369807,0.11284375160335196,-0.16477769878047496,-0.5382015370878611,0.24776782709442655,0.05773751159288221,-1.3633666038513184
100,32.26651486,-6.867879914,1239.45,21.46,28.76,2,0.056461114436388016,0.08574999868869781,0.14669999480247498,0.1655000001192093,0.1760166734457016,0.19001667201519012,0.19878889620304108,0.20576666295528412,0.27586668729782104,0.2624000310897827,0.15076867189042492,0.09241203868205455,0.07865892713596173,0.3972704580865183,0.10845752321031293,-0.1623867781432159,-0.5257409169732558,0.24684648962793895,0.07238742732358361,-1.5559444576501846,0.050611112266778946,0.07648888975381851,0.13026666641235352,0.1422666758298874,0.15619999170303345,0.16583333909511566,0.18193334341049194,0.1799333393573761,0.24673332273960114,0.23466666042804718,0.16549223320641115,0.09541986525475628,0.08154720319759097,0.4080316618175724,0.11690459849510604,-0.15116635907316806,-0.5267101884668225,0.23698933599200656,0.05790008486361775,-1.4080222696065903
101,32.24024486,-6.900046577,2605.35,50.85,89.35,2,0.06918888539075851,0.11493333429098129,0.1998777836561203,0.22341111302375793,0.23517221212387085,0.24950554966926575,0.26278889179229736,0.26508334279060364,0.35455000400543213,0.3388277590274811,0.13597501471059797,0.09802631025978838,0.08094005324399248,0.3914399177486515,0.08530747726106143,-0.14863977094124398,-0.5103837552010897,0.25095737103877036,0.12013138332034501,-2.0834667086601257,0.06881110370159149,0.1111111119389534,0.19393332302570343,0.21369999647140503,0.22538886964321136,0.23757778108119965,0.2585333585739136,0.25130000710487366,0.3317111134529114,0.3200555741786957,0.1427730218213084,0.10173589816241839,0.08473024698382242,0.3988217273522202,0.08086023712565515,-0.12397872106067494,-0.49816831307546733,0.23247661752722823,0.10616599087762602,-2.0401111841201782
102,32.21418319,-6.894169909,1772.8,42.43,69.77,2,0.06682778149843216,0.10406111180782318,0.17577776312828064,0.1971999853849411,0.2122555524110794,0.22611111402511597,0.2367222011089325,0.2431611269712448,0.3335000276565552,0.31700000166893005,0.1477441045252089,0.10018264170278164,0.08510935175313024,0.38928281956174327,0.1043714810238661,-0.16971949092097655,-0.5243585287423632,0.25310135142872797,0.10571950932371621,-1.8543775975704193,0.06522777676582336,0.10048333555459976,0.17005555331707,0.18764999508857727,0.20029999315738678,0.2132277935743332,0.23381111025810242,0.2306944578886032,0.3155499994754791,0.3025611340999603,0.15786288528689763,0.10580469361850187,0.09030859074937715,0.3988333517792572,0.10289239498887653,-0.14878899802031464,-0.5169457476006928,0.2377722393272656,0.09547316570654285,-1.8183666467666626
103,32.19728485,-6.885879908,2561.68,46.05,47.28,2,0.059688884764909744,0.08919999748468399,0.14099998772144318,0.1582999974489212,0.1994333416223526,0.22105556726455688,0.2369999885559082,0.24160555005073547,0.28163889050483704,0.23823332786560059,0.25396827144258416,0.1640091174742918,0.14675907666432303,0.4530962505919169,0.20831307020959172,-0.08606933198625705,-0.51892856637695,0.17509404365323117,0.06709577014134283,-1.711599886417389,0.05268333479762077,0.08216110616922379,0.12798888981342316,0.13652777671813965,0.17676112055778503,0.1958611160516739,0.2199999839067459,0.21275556087493896,0.24490001797676086,0.2131222039461136,0.26440814858610734,0.16275760852202967,0.14441645835751354,0.4561767937979364,0.21824053922482128,-0.05355997830839835,-0.49757950210346186,0.155219795428178,0.05219363157765011,-1.5756221562623978
104,32.19375153,-6.91904658,1490.12,54.23,44.3,2,0.05988333001732826,0.09728889167308807,0.16321110725402832,0.19663332402706146,0.21695555746555328,0.2314833253622055,0.22327777743339539,0.25003889203071594,0.3109055757522583,0.2841833531856537,0.1554162937247994,0.1016369261085771,0.08564218664607082,0.393019292113111,0.11956321876349525,-0.16404067560743976,-0.5233208693474444,0.2521605383252591,0.08835418904139303,-1.7378666400909424,0.06522222608327866,0.09835556149482727,0.15786665678024292,0.19108888506889343,0.21267777681350708,0.22518889605998993,0.22011110186576843,0.2410222440958023,0.29344442486763,0.27016669511795044,0.16467753325968038,0.10634286200173829,0.09272808563766988,0.38231800686391126,0.1155567527452421,-0.14279531431687953,-0.49792973370446914,0.22531597513151594,0.07927891046727531,-1.6931776702404022
105,32.18758319,-6.944278246,2953.49,61.29,87.69,1,0.0782555639743805,0.12492222338914871,0.20285555720329285,0.23091112077236176,0.24516111612319946,0.26190000772476196,0.2704222500324249,0.28290554881095886,0.3873944580554962,0.37444445490837097,0.14276328121321977,0.10413269314292728,0.08887365996858558,0.368033540512123,0.10119256734035001,-0.17781884589896796,-0.5123242003635267,0.25728516448772226,0.14505770668111406,-2.1165445894002914,0.07569999992847443,0.12031111121177673,0.20053333044052124,0.22458890080451965,0.2369222342967987,0.2509888708591461,0.2732888460159302,0.2690333127975464,0.35894444584846497,0.34831109642982483,0.15355025373858916,0.11206694199574306,0.09529265405848392,0.38866298536457716,0.0900373011552076,-0.13548100171135194,-0.4979250227217863,0.23169693300939873,0.12502433349087472,-2.1284886598587036
